Kontynent,Distribution,Skomentować status szkodnika w poszczególnych krajach występowania,Zrodlo
Ameryka Południowa,"Większość obszaru kontynentu.","Naturalny zasięg występowania. Szeroko rozmieszczony, częstszy na północy kontynentu, najpewniej nie brak stałych populacji na południowych krańcach kontynentu, ale mogą być notowane migrujące osobniki.",@eppo2018
Ameryka Północna,"Znaczna część kontynentu","Szeroko rozmieszczony, ale liczne i stałe populacje tylko w południowej i środkowej części kontynentu. Na północ sięga po Kanadę, jednak na północy brak osiadłych populacji.",@eppo2018
Azja,Chiny,"Prowincja Anhui północno-wschodniej części Chin. Dane te są jednak wątpliwe, bo istnieje tu możliwość pomyłki z H. armigera (badania te pochodzą z czasów, kiedy te gatunki traktowano synonimicznie (EPPO/CABI 1996))",@luliang2002
Europa,Szwajcaria,Przechwycony w przesyłce kwiatów,@billen1984
UE,,Brak,
Oceania,Hawaje,,@purcell1992
